Date,BAC,C,GS,JPM
2019-08-02,27.73697280883789,62.614322662353516,198.5463104248047,105.45835876464844
2019-08-05,26.509675979614258,60.3638801574707,191.2538604736328,102.32067108154297
2019-08-06,26.83066177368164,61.35481643676758,195.36000061035156,103.12376403808594
2019-08-07,26.33030128479004,60.32682418823242,195.10397338867188,100.88255310058594
2019-08-08,26.792898178100586,61.80860137939453,196.29885864257812,102.59147644042969
2019-08-09,26.745695114135742,61.169593811035156,196.20401000976562,102.47941589355469
2019-08-12,26.094280242919922,59.49332809448242,191.10215759277344,100.55571746826172
2019-08-13,26.16980743408203,60.039737701416016,193.55824279785156,102.10588073730469
2019-08-14,24.9425106048584,56.8724365234375,185.4502410888672,97.86625671386719
2019-08-15,24.78201675415039,56.789093017578125,186.03817749023438,98.23979187011719
2019-08-16,25.518396377563477,58.78948211669922,189.11068725585938,100.59307098388672
2019-08-19,25.744977951049805,59.55815505981445,191.74697875976562,101.49889373779297
2019-08-20,25.22572898864746,58.73391342163086,189.64173889160156,100.2101821899414
2019-08-21,25.423988342285156,58.576480865478516,190.30555725097656,100.49034881591797
2019-08-22,25.66944694519043,59.18770980834961,191.9556121826172,101.52690887451172
2019-08-23,24.989715576171875,57.37254333496094,186.05714416503906,99.00553131103516
2019-08-26,25.282377243041992,58.08564758300781,189.32879638671875,99.79930114746094
2019-08-27,24.989715576171875,57.10396194458008,187.83050537109375,98.74406433105469
2019-08-28,25.348461151123047,57.75223922729492,190.05902099609375,99.73395538330078
2019-08-29,25.80162239074707,59.1784553527832,194.1336669921875,101.99382781982422
2019-08-30,25.97154998779297,59.595211029052734,194.5821990966797,102.59147644042969
2019-09-03,25.537273406982422,58.73391342163086,189.8681182861328,101.37748718261719
2019-09-04,25.95267105102539,59.530372619628906,192.5018768310547,102.6008071899414
2019-09-05,26.722414016723633,61.43816375732422,197.5785369873047,104.9354248046875
2019-09-06,26.351795196533203,61.09550476074219,197.73121643066406,105.1595458984375
2019-09-09,27.20706558227539,63.70712661743164,202.2830047607422,107.76495361328125
2019-09-10,27.891281127929688,63.88309860229492,205.7660675048828,109.1376953125
2019-09-11,27.995813369750977,63.809017181396484,206.8825225830078,109.43651580810547
2019-09-12,28.195377349853516,64.17945861816406,208.73377990722656,110.10887908935547
2019-09-13,28.6705265045166,65.18891143798828,209.84071350097656,112.27538299560547
2019-09-16,28.63251495361328,64.67028045654297,207.2833251953125,111.27618408203125
2019-09-17,28.45195770263672,64.34616088867188,206.0332489013672,110.7252197265625
2019-09-18,28.508975982666016,64.91106414794922,207.1497039794922,111.83647918701172
2019-09-19,28.337923049926758,64.57767486572266,205.38433837890625,111.48161315917969
2019-09-20,28.119354248046875,64.22575378417969,203.96249389648438,111.03337860107422
2019-09-23,28.052831649780273,64.41097259521484,203.69529724121094,111.01470184326172
2019-09-24,27.501657485961914,62.88289260864258,198.24652099609375,109.56725311279297
2019-09-25,27.796255111694336,64.25353240966797,200.42221069335938,110.19292449951172
2019-09-26,27.682214736938477,64.00348663330078,198.6950225830078,109.287109375
2019-09-27,27.891281127929688,64.3276138305664,199.4107208251953,109.93145751953125
2019-09-30,27.720224380493164,63.975704193115234,197.75027465820312,109.90343475341797
2019-10-01,27.02651023864746,63.11442565917969,193.41798400878906,107.90501403808594
2019-10-02,26.456329345703125,61.36407470703125,189.18106079101562,105.75719451904297
2019-10-03,26.427820205688477,61.77156066894531,188.21728515625,105.60658264160156
2019-10-04,26.95998764038086,63.14220428466797,191.61444091796875,107.89399719238281
2019-10-07,26.902969360351562,63.11442565917969,191.23272705078125,107.6586685180664
2019-10-08,26.25676727294922,61.49372863769531,188.34133911132812,105.25829315185547
2019-10-09,26.503843307495117,62.44761657714844,187.8451690673828,106.02075958251953
2019-10-10,27.036012649536133,63.54970932006836,190.7269744873047,107.50804901123047
2019-10-11,27.4731502532959,64.92034149169922,195.3169403076172,109.32479095458984
