date,ticker,close,high,low,open
2019-01-21 00:00:00+00:00,gbpusd,1.2895,1.2895,1.2895,1.2895
2019-01-22 00:00:00+00:00,gbpusd,1.2957,1.2957,1.2957,1.2957
2019-01-23 00:00:00+00:00,gbpusd,1.3067,1.3067,1.3067,1.3067
2019-01-24 00:00:00+00:00,gbpusd,1.3042,1.31258,1.3042,1.30626
2019-01-25 00:00:00+00:00,gbpusd,1.3167,1.32185,1.309345,1.31161
2019-01-27 00:00:00+00:00,gbpusd,1.32078,1.32125,1.319615,1.319705
2019-01-28 00:00:00+00:00,gbpusd,1.3156,1.32091,1.278105,1.32059
2019-01-29 00:00:00+00:00,gbpusd,1.3149,1.3165,1.30497,1.314755
2019-01-30 00:00:00+00:00,gbpusd,1.3072,1.312375,1.279725,1.29366
2019-01-31 00:00:00+00:00,gbpusd,1.3152,1.3152,1.31021,1.311645
2019-02-01 00:00:00+00:00,gbpusd,1.3093,1.311245,1.308365,1.31086
2019-02-03 00:00:00+00:00,gbpusd,1.308205,1.308335,1.308205,1.308335
2019-02-04 00:00:00+00:00,gbpusd,1.3085,1.308515,1.302665,1.308205
2019-02-05 00:00:00+00:00,gbpusd,1.294,1.304265,1.294,1.30321
2019-02-06 00:00:00+00:00,gbpusd,1.2963,1.2963,1.2963,1.2963
2019-02-07 00:00:00+00:00,gbpusd,1.2975,1.2975,1.289385,1.292935
2019-02-08 00:00:00+00:00,gbpusd,1.2942,1.295625,1.2942,1.294895
2019-02-10 00:00:00+00:00,gbpusd,1.293595,1.294245,1.286055,1.29368
2019-02-11 00:00:00+00:00,gbpusd,1.2866,1.29387,1.279305,1.29361
2019-02-12 00:00:00+00:00,gbpusd,1.2883,1.29095,1.280075,1.28627
2019-02-13 00:00:00+00:00,gbpusd,1.2878,1.295805,1.281645,1.28917
2019-02-14 00:00:00+00:00,gbpusd,1.2781,1.28779,1.277295,1.285275
2019-02-15 00:00:00+00:00,gbpusd,1.2847,1.289945,1.27849,1.279575
2019-02-18 00:00:00+00:00,gbpusd,1.2928,1.2928,1.28537,1.29225
2019-02-19 00:00:00+00:00,gbpusd,1.3031,1.307265,1.279155,1.292205
2019-02-20 00:00:00+00:00,gbpusd,1.3061,1.3108,1.27944,1.305965
2019-02-21 00:00:00+00:00,gbpusd,1.307,1.307,1.290645,1.30444
2019-02-22 00:00:00+00:00,gbpusd,1.3058,1.307945,1.28761,1.303945
2019-02-24 00:00:00+00:00,gbpusd,1.30652,1.30701,1.29221,1.30551
2019-02-25 00:00:00+00:00,gbpusd,1.3067,1.316595,1.293,1.30639
2019-02-26 00:00:00+00:00,gbpusd,1.324,1.32885,1.295885,1.312565
2019-02-27 00:00:00+00:00,gbpusd,1.3336,1.3336,1.278845,1.325565
2019-02-28 00:00:00+00:00,gbpusd,1.33,1.33,1.33,1.33
2019-03-01 00:00:00+00:00,gbpusd,1.3243,1.3243,1.317125,1.320145
2019-03-04 00:00:00+00:00,gbpusd,1.3173,1.32047,1.29817,1.32015
2019-03-05 00:00:00+00:00,gbpusd,1.3114,1.31986,1.294785,1.317705
2019-03-06 00:00:00+00:00,gbpusd,1.315,1.318355,1.29776,1.298165
2019-03-07 00:00:00+00:00,gbpusd,1.3115,1.318495,1.29344,1.317935
2019-03-08 00:00:00+00:00,gbpusd,1.3005,1.30986,1.3005,1.309025
2019-03-10 00:00:00+00:00,gbpusd,1.298425,1.30155,1.288415,1.30155
2019-03-11 00:00:00+00:00,gbpusd,1.3095,1.32653,1.28876,1.298335
2019-03-12 00:00:00+00:00,gbpusd,1.3097,1.324595,1.29096,1.324555
2019-03-13 00:00:00+00:00,gbpusd,1.3228,1.33811,1.296115,1.3064
2019-03-14 00:00:00+00:00,gbpusd,1.3282,1.333085,1.301905,1.328545
2019-03-15 00:00:00+00:00,gbpusd,1.3279,1.33001,1.303335,1.328175
2019-03-17 00:00:00+00:00,gbpusd,1.32962,1.330675,1.304505,1.32962
2019-03-18 00:00:00+00:00,gbpusd,1.322,1.3299,1.27997,1.329665
2019-03-19 00:00:00+00:00,gbpusd,1.3264,1.32876,1.30118,1.326305
2019-03-20 00:00:00+00:00,gbpusd,1.3192,1.326965,1.29754,1.32682
2019-03-21 00:00:00+00:00,gbpusd,1.3073,1.312785,1.2965,1.308015
2019-03-22 00:00:00+00:00,gbpusd,1.322,1.3223,1.29964,1.31274
2019-03-25 00:00:00+00:00,gbpusd,1.3197,1.324565,1.298155,1.31746
2019-03-26 00:00:00+00:00,gbpusd,1.3215,1.326155,1.279495,1.32091
2019-03-27 00:00:00+00:00,gbpusd,1.3192,1.3192,1.3192,1.3192
2019-03-28 00:00:00+00:00,gbpusd,1.3088,1.315695,1.3088,1.31444
2019-03-29 00:00:00+00:00,gbpusd,1.303,1.303,1.303,1.303
2019-03-31 00:00:00+00:00,gbpusd,1.311275,1.313245,1.31106,1.312285
2019-04-01 00:00:00+00:00,gbpusd,1.3141,1.318245,1.31071,1.311245
2019-04-02 00:00:00+00:00,gbpusd,1.3031,1.318115,1.3031,1.313645
2019-04-03 00:00:00+00:00,gbpusd,1.3156,1.319985,1.3156,1.31645
2019-04-04 00:00:00+00:00,gbpusd,1.3083,1.320525,1.3083,1.319025
2019-04-05 00:00:00+00:00,gbpusd,1.3012,1.314795,1.3012,1.31382
2019-04-07 00:00:00+00:00,gbpusd,1.303835,1.31345,1.29109,1.312235
2019-04-08 00:00:00+00:00,gbpusd,1.3048,1.30796,1.281015,1.30363
2019-04-09 00:00:00+00:00,gbpusd,1.3045,1.3121,1.27943,1.30611
2019-04-10 00:00:00+00:00,gbpusd,1.309,1.31254,1.2943,1.30931
2019-04-11 00:00:00+00:00,gbpusd,1.3087,1.31086,1.292635,1.309675
2019-04-12 00:00:00+00:00,gbpusd,1.3103,1.3103,1.292505,1.305395
2019-04-14 00:00:00+00:00,gbpusd,1.307885,1.307935,1.29314,1.30725
2019-04-15 00:00:00+00:00,gbpusd,1.3116,1.311915,1.293435,1.307935
2019-04-16 00:00:00+00:00,gbpusd,1.3054,1.31008,1.291475,1.309935
2019-04-17 00:00:00+00:00,gbpusd,1.3046,1.30671,1.290605,1.306265
2019-04-18 00:00:00+00:00,gbpusd,1.3009,1.305285,1.2795,1.303835
2019-04-19 00:00:00+00:00,gbpusd,1.29926,1.301115,1.288735,1.29924
2019-04-21 00:00:00+00:00,gbpusd,1.29932,1.300305,1.279155,1.279155
2019-04-22 00:00:00+00:00,gbpusd,1.298115,1.29981,1.288295,1.299165
2019-04-23 00:00:00+00:00,gbpusd,1.2937,1.30185,1.279185,1.298035
2019-04-24 00:00:00+00:00,gbpusd,1.2959,1.29614,1.280025,1.293685
2019-04-25 00:00:00+00:00,gbpusd,1.2907,1.29166,1.28255,1.290315
2019-04-26 00:00:00+00:00,gbpusd,1.2934,1.2934,1.284045,1.28954
2019-04-29 00:00:00+00:00,gbpusd,1.2922,1.2922,1.2922,1.2922
2019-04-30 00:00:00+00:00,gbpusd,1.3036,1.304885,1.29084,1.30387
2019-05-01 00:00:00+00:00,gbpusd,1.3083,1.30935,1.292135,1.303905
2019-05-02 00:00:00+00:00,gbpusd,1.3033,1.308375,1.27899,1.305685
2019-05-03 00:00:00+00:00,gbpusd,1.3116,1.31801,1.278085,1.303125
2019-05-06 00:00:00+00:00,gbpusd,1.31017,1.31045,1.293745,1.30896
2019-05-07 00:00:00+00:00,gbpusd,1.3047,1.30864,1.27981,1.30809
2019-05-08 00:00:00+00:00,gbpusd,1.3004,1.30803,1.279245,1.30669
2019-05-09 00:00:00+00:00,gbpusd,1.302,1.3036,1.279485,1.30102
2019-05-10 00:00:00+00:00,gbpusd,1.3033,1.30473,1.2883,1.300925
2019-05-13 00:00:00+00:00,gbpusd,1.2984,1.2984,1.2984,1.2984
2019-05-14 00:00:00+00:00,gbpusd,1.2919,1.29641,1.278,1.294165
2019-05-15 00:00:00+00:00,gbpusd,1.2868,1.2923,1.27777,1.290665
2019-05-16 00:00:00+00:00,gbpusd,1.2792,1.285205,1.27821,1.284665
2019-05-17 00:00:00+00:00,gbpusd,1.2733,1.28072,1.271515,1.27974
2019-05-19 00:00:00+00:00,gbpusd,1.2731,1.279575,1.27244,1.276405
2019-05-20 00:00:00+00:00,gbpusd,1.2734,1.278575,1.271505,1.272955
2019-05-21 00:00:00+00:00,gbpusd,1.2786,1.280855,1.26852,1.27269
2019-05-22 00:00:00+00:00,gbpusd,1.2657,1.279935,1.26245,1.2707
2019-05-23 00:00:00+00:00,gbpusd,1.2667,1.273735,1.260425,1.26626
2019-05-24 00:00:00+00:00,gbpusd,1.2691,1.277005,1.26473,1.26628
2019-05-26 00:00:00+00:00,gbpusd,1.272335,1.277775,1.27116,1.27116
2019-05-27 00:00:00+00:00,gbpusd,1.26808,1.27588,1.26569,1.272215
2019-05-28 00:00:00+00:00,gbpusd,1.2675,1.280975,1.26508,1.268005
2019-05-29 00:00:00+00:00,gbpusd,1.2631,1.273495,1.261195,1.265755
2019-05-30 00:00:00+00:00,gbpusd,1.2589,1.2721,1.25807,1.262845
2019-05-31 00:00:00+00:00,gbpusd,1.2602,1.26436,1.255785,1.260615
2019-06-03 00:00:00+00:00,gbpusd,1.2631,1.27994,1.26167,1.26244
2019-06-04 00:00:00+00:00,gbpusd,1.2677,1.28198,1.264225,1.266245
2019-06-05 00:00:00+00:00,gbpusd,1.2732,1.27776,1.267995,1.27031
2019-06-06 00:00:00+00:00,gbpusd,1.2712,1.27667,1.26857,1.271985
2019-06-07 00:00:00+00:00,gbpusd,1.2757,1.277715,1.26888,1.269545
2019-06-09 00:00:00+00:00,gbpusd,1.272175,1.27371,1.27204,1.273235
2019-06-10 00:00:00+00:00,gbpusd,1.269,1.274585,1.26838,1.2687
2019-06-11 00:00:00+00:00,gbpusd,1.2719,1.27729,1.266985,1.26909
2019-06-12 00:00:00+00:00,gbpusd,1.2725,1.278305,1.268195,1.272405
2019-06-13 00:00:00+00:00,gbpusd,1.2684,1.276035,1.266235,1.269285
2019-06-14 00:00:00+00:00,gbpusd,1.2606,1.27493,1.257995,1.267885
2019-06-16 00:00:00+00:00,gbpusd,1.25943,1.26932,1.25703,1.258795
2019-06-17 00:00:00+00:00,gbpusd,1.2556,1.27131,1.253135,1.25942
2019-06-18 00:00:00+00:00,gbpusd,1.2539,1.26889,1.25063,1.254135
2019-06-19 00:00:00+00:00,gbpusd,1.263,1.273155,1.254205,1.25659
2019-06-20 00:00:00+00:00,gbpusd,1.2701,1.27765,1.265165,1.26528
2019-06-21 00:00:00+00:00,gbpusd,1.2696,1.27547,1.263935,1.270725
2019-06-23 00:00:00+00:00,gbpusd,1.269915,1.269915,1.26766,1.268585
2019-06-24 00:00:00+00:00,gbpusd,1.26922,1.27408,1.264585,1.269895
2019-06-25 00:00:00+00:00,gbpusd,1.268985,1.27415,1.266985,1.26922
2019-06-26 00:00:00+00:00,gbpusd,1.268475,1.2747,1.26601,1.268985
2019-06-28 00:00:00+00:00,gbpusd,1.269525,1.276,1.268635,1.27126
2019-07-01 00:00:00+00:00,gbpusd,1.264155,1.274275,1.25966,1.269195
2019-07-02 00:00:00+00:00,gbpusd,1.25983,1.272325,1.258395,1.26415
2019-07-03 00:00:00+00:00,gbpusd,1.25719,1.279185,1.255695,1.25985
2019-07-04 00:00:00+00:00,gbpusd,1.258145,1.270005,1.256785,1.257855
2019-07-05 00:00:00+00:00,gbpusd,1.252595,1.268475,1.24799,1.258145
2019-07-07 00:00:00+00:00,gbpusd,1.252485,1.25324,1.25138,1.252895
2019-07-08 00:00:00+00:00,gbpusd,1.251535,1.26717,1.250435,1.252485
2019-07-09 00:00:00+00:00,gbpusd,1.24572,1.26452,1.243835,1.251535
2019-07-10 00:00:00+00:00,gbpusd,1.25052,1.26628,1.2443,1.24572
2019-07-11 00:00:00+00:00,gbpusd,1.252495,1.269285,1.25045,1.25052
2019-07-12 00:00:00+00:00,gbpusd,1.257345,1.26874,1.253,1.253195
2019-07-14 00:00:00+00:00,gbpusd,1.257075,1.269425,1.25474,1.256425
2019-07-15 00:00:00+00:00,gbpusd,1.25131,1.269045,1.250725,1.25709
2019-07-16 00:00:00+00:00,gbpusd,1.24068,1.26463,1.239245,1.25131
2019-07-17 00:00:00+00:00,gbpusd,1.24294,1.261975,1.24001,1.240775
2019-07-18 00:00:00+00:00,gbpusd,1.254175,1.26786,1.242615,1.24294
2019-07-19 00:00:00+00:00,gbpusd,1.25101,1.2673,1.247655,1.254175
2019-07-22 00:00:00+00:00,gbpusd,1.248215,1.263855,1.246145,1.2465
2019-07-23 00:00:00+00:00,gbpusd,1.24463,1.263415,1.243085,1.2438
2019-07-24 00:00:00+00:00,gbpusd,1.248505,1.265845,1.24268,1.24306
2019-07-25 00:00:00+00:00,gbpusd,1.24525,1.26588,1.244555,1.2485
2019-07-26 00:00:00+00:00,gbpusd,1.238285,1.26333,1.23756,1.24525
2019-07-29 00:00:00+00:00,gbpusd,1.221515,1.259265,1.221155,1.23779
2019-07-30 00:00:00+00:00,gbpusd,1.215205,1.249985,1.211805,1.221515
2019-07-31 00:00:00+00:00,gbpusd,1.21505,1.250805,1.213315,1.215205
2019-08-01 00:00:00+00:00,gbpusd,1.212345,1.248145,1.20767,1.21505
2019-08-02 00:00:00+00:00,gbpusd,1.215805,1.247035,1.20899,1.212345
2019-08-04 00:00:00+00:00,gbpusd,1.214795,1.21955,1.213335,1.21491
2019-08-05 00:00:00+00:00,gbpusd,1.21559,1.249115,1.21018,1.214795
2019-08-06 00:00:00+00:00,gbpusd,1.217,1.25154,1.21369,1.21559
2019-08-07 00:00:00+00:00,gbpusd,1.21398,1.24979,1.212055,1.217015
2019-08-08 00:00:00+00:00,gbpusd,1.21411,1.25026,1.20938,1.21398
2019-08-09 00:00:00+00:00,gbpusd,1.204255,1.247345,1.2039,1.21411
2019-08-11 00:00:00+00:00,gbpusd,1.202,1.244245,1.20157,1.20665
2019-08-12 00:00:00+00:00,gbpusd,1.20775,1.24532,1.201805,1.202
2019-08-13 00:00:00+00:00,gbpusd,1.20595,1.244655,1.20434,1.20775
2019-08-14 00:00:00+00:00,gbpusd,1.205865,1.24443,1.204425,1.20595
2019-08-15 00:00:00+00:00,gbpusd,1.209035,1.24621,1.20495,1.205865
2019-08-16 00:00:00+00:00,gbpusd,1.214365,1.249065,1.20811,1.209035
2019-08-19 00:00:00+00:00,gbpusd,1.2127,1.24839,1.21044,1.21242
2019-08-20 00:00:00+00:00,gbpusd,1.216175,1.24838,1.206335,1.2127
2019-08-21 00:00:00+00:00,gbpusd,1.21308,1.24889,1.211285,1.216175
2019-08-22 00:00:00+00:00,gbpusd,1.21451,1.215475,1.210775,1.21308
2019-08-27 00:00:00+00:00,gbpusd,1.22801,1.254425,1.22801,1.229065
2019-08-28 00:00:00+00:00,gbpusd,1.221445,1.250695,1.219585,1.22804
2019-08-29 00:00:00+00:00,gbpusd,1.21838,1.24829,1.217235,1.221445
2019-08-30 00:00:00+00:00,gbpusd,1.216295,1.22265,1.213905,1.21838
2019-09-01 00:00:00+00:00,gbpusd,1.21583,1.216395,1.21336,1.215195
2019-09-02 00:00:00+00:00,gbpusd,1.2064,1.243975,1.20355,1.21583
2019-09-03 00:00:00+00:00,gbpusd,1.20909,1.24484,1.19594,1.2064
2019-09-04 00:00:00+00:00,gbpusd,1.224615,1.251455,1.20851,1.209105
2019-09-05 00:00:00+00:00,gbpusd,1.232365,1.25683,1.22104,1.224585
2019-09-06 00:00:00+00:00,gbpusd,1.2288,1.25557,1.227945,1.23239
2019-09-09 00:00:00+00:00,gbpusd,1.234445,1.23802,1.22338,1.22898
2019-09-10 00:00:00+00:00,gbpusd,1.23573,1.2574,1.230685,1.23449
2019-09-11 00:00:00+00:00,gbpusd,1.23334,1.25747,1.23126,1.23554
2019-09-12 00:00:00+00:00,gbpusd,1.23296,1.256835,1.2284,1.23343
2019-09-13 00:00:00+00:00,gbpusd,1.249865,1.26387,1.24289,1.244105
