areaCode,areaName,areaType,date,newCasesBySpecimenDate
E07000079,Cotswold,ltla,2020-05-16,1
E07000079,Cotswold,ltla,2020-05-15,3
E07000079,Cotswold,ltla,2020-05-14,0
E07000079,Cotswold,ltla,2020-05-13,1
E07000079,Cotswold,ltla,2020-05-12,2
E07000079,Cotswold,ltla,2020-05-11,9
E07000079,Cotswold,ltla,2020-05-10,2
E07000079,Cotswold,ltla,2020-05-09,0
E07000079,Cotswold,ltla,2020-05-08,1
E07000079,Cotswold,ltla,2020-05-07,3
E07000079,Cotswold,ltla,2020-05-06,3
E07000079,Cotswold,ltla,2020-05-05,7
E07000079,Cotswold,ltla,2020-05-04,2
E07000079,Cotswold,ltla,2020-05-03,1
E07000079,Cotswold,ltla,2020-05-02,3
E07000079,Cotswold,ltla,2020-05-01,2
E07000079,Cotswold,ltla,2020-04-30,2
E07000079,Cotswold,ltla,2020-04-29,3
E07000079,Cotswold,ltla,2020-04-28,4
E07000079,Cotswold,ltla,2020-04-27,9
E07000079,Cotswold,ltla,2020-04-26,3
E07000079,Cotswold,ltla,2020-04-25,1
E07000079,Cotswold,ltla,2020-04-24,7
E07000079,Cotswold,ltla,2020-04-23,6
E07000079,Cotswold,ltla,2020-04-22,2
E07000079,Cotswold,ltla,2020-04-21,2
E07000079,Cotswold,ltla,2020-04-20,2
E07000079,Cotswold,ltla,2020-04-19,3
E07000079,Cotswold,ltla,2020-04-18,6
E07000079,Cotswold,ltla,2020-04-17,1
E07000079,Cotswold,ltla,2020-04-16,4
E07000079,Cotswold,ltla,2020-04-15,2
E07000079,Cotswold,ltla,2020-04-14,1
E07000079,Cotswold,ltla,2020-04-13,4
E07000079,Cotswold,ltla,2020-04-12,5
E07000079,Cotswold,ltla,2020-04-11,4
E07000079,Cotswold,ltla,2020-04-10,6
E07000079,Cotswold,ltla,2020-04-09,8
E07000079,Cotswold,ltla,2020-04-08,4
E07000079,Cotswold,ltla,2020-04-07,5
E07000079,Cotswold,ltla,2020-04-06,4
E07000079,Cotswold,ltla,2020-04-05,2
E07000079,Cotswold,ltla,2020-04-04,1
E07000079,Cotswold,ltla,2020-04-03,7
E07000079,Cotswold,ltla,2020-04-02,1
E07000079,Cotswold,ltla,2020-04-01,3
E07000079,Cotswold,ltla,2020-03-31,3
E07000079,Cotswold,ltla,2020-03-30,4
E07000079,Cotswold,ltla,2020-03-29,1
E07000079,Cotswold,ltla,2020-03-28,3
E07000079,Cotswold,ltla,2020-03-27,5
E07000079,Cotswold,ltla,2020-03-26,3
E07000079,Cotswold,ltla,2020-03-25,4
E07000079,Cotswold,ltla,2020-03-24,0
E07000079,Cotswold,ltla,2020-03-23,1
E07000079,Cotswold,ltla,2020-03-22,1
E07000079,Cotswold,ltla,2020-03-21,0
E07000079,Cotswold,ltla,2020-03-20,1
E07000079,Cotswold,ltla,2020-03-19,0
E07000079,Cotswold,ltla,2020-03-18,2
E07000079,Cotswold,ltla,2020-03-17,1
E07000079,Cotswold,ltla,2020-03-16,1
E07000079,Cotswold,ltla,2020-03-15,1
E07000079,Cotswold,ltla,2020-03-14,0
E07000079,Cotswold,ltla,2020-03-13,1
E07000079,Cotswold,ltla,2020-03-12,0
E07000079,Cotswold,ltla,2020-03-11,2
E07000079,Cotswold,ltla,2020-03-10,0
E07000079,Cotswold,ltla,2020-03-09,0
E07000079,Cotswold,ltla,2020-03-08,0
E07000079,Cotswold,ltla,2020-03-07,0
E07000079,Cotswold,ltla,2020-03-06,0
E07000079,Cotswold,ltla,2020-03-05,0
E07000079,Cotswold,ltla,2020-03-04,0
